customer_id,score,segmentation,gender,job_title,job_industry_category,wealth_segment,owns_car,tenure,age_class,state,property_valuation
26,Bronze,Dormant,Female,Editor,Financial Services,Mass Customer,Yes,16,40-49,QLD,5
27,Silver,Attention,Male,Research Nurse,Health,Mass Customer,Yes,12,40-49,VIC,7
28,Bronze,Attention,Male,Senior Quality Engineer,Health,Affluent Customer,Yes,21,50-59,QLD,4
29,Diamond,Best,Female,Safety Technician III,Manufacturing,Mass Customer,No,19,50-59,QLD,7
30,Silver,Rookies,Male,Safety Technician III,IT,Affluent Customer,Yes,6,60-69,NSW,11
31,Bronze,Dormant,Female,Staff Accountant III,Telecommunications,High Net Worth,Yes,14,60-69,NSW,12
32,Silver,Attention,Female,Legal Assistant,Manufacturing,Affluent Customer,No,4,20-29,NSW,9
33,Silver,Whales,Male,Product Engineer,Manufacturing,Affluent Customer,Yes,11,60-69,NSW,9
35,Bronze,Slipping,Female,Information Systems Manager,Health,High Net Worth,Yes,16,60-69,QLD,6
36,Bronze,Dormant,Female,VP Quality Control,Health,Affluent Customer,No,22,40-49,NSW,8
37,Diamond,Best,Female,Social Worker,Health,High Net Worth,No,16,30-39,QLD,1
38,Bronze,Slipping,Female,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,60-69,QLD,4
39,Diamond,Loyal,Male,Assistant Media Planner,Entertainment,Mass Customer,No,22,40-49,NSW,10
40,Diamond,Whales,Female,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,40-49,NSW,8
41,Diamond,Loyal,Male,Food Chemist,Health,Mass Customer,No,16,40-49,VIC,9
42,Bronze,Dormant,Female,Accountant III,Manufacturing,Mass Customer,No,18,40-49,VIC,10
43,Diamond,Loyal,Female,Director of Sales,Retail,Mass Customer,No,5,40-49,QLD,8
44,Diamond,Loyal,Male,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,40-49,QLD,2
45,Bronze,Slipping,Male,Senior Financial Analyst,Financial Services,Mass Customer,No,8,40-49,NSW,3
46,Bronze,Potential,Female,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,15,50-59,VIC,6
47,Diamond,Loyal,Male,Registered Nurse,Health,Affluent Customer,No,2,30-39,NSW,4
48,Silver,Whales,Female,Biostatistician II,Health,Mass Customer,Yes,8,40-49,VIC,9
49,Silver,Whales,Male,VP Quality Control,Health,Affluent Customer,No,1,30-39,NSW,9
50,Diamond,Loyal,Male,Account Executive,Manufacturing,Mass Customer,Yes,16,40-49,NSW,10
51,Diamond,Loyal,Male,Computer Systems Analyst II,Retail,Mass Customer,No,18,60-69,QLD,5
52,Diamond,Whales,Male,Computer Systems Analyst II,Financial Services,Mass Customer,Yes,13,30-39,NSW,8
53,Silver,Promising,Female,Software Test Engineer II,Financial Services,Mass Customer,No,16,70-79,QLD,3
54,Diamond,Loyal,Female,Sales Associate,Property,Mass Customer,Yes,18,50-59,NSW,8
55,Silver,Loyal,Male,Paralegal,Financial Services,Affluent Customer,Yes,7,60-69,NSW,10
56,Silver,Promising,Male,VP Sales,Property,Mass Customer,Yes,4,20-29,NSW,10
57,Silver,Whales,Male,Chief Design Engineer,Property,Mass Customer,Yes,13,30-39,QLD,6
58,Diamond,Loyal,Female,Office Assistant III,Financial Services,Affluent Customer,Yes,17,50-59,NSW,9
59,Silver,Rookies,Male,Physical Therapy Assistant,Financial Services,High Net Worth,No,3,20-29,NSW,9
60,Bronze,Dormant,Female,Physical Therapy Assistant,Manufacturing,Mass Customer,No,10,50-59,NSW,10
61,Silver,Whales,Female,Help Desk Operator,Property,High Net Worth,No,13,60-69,NSW,7
62,Diamond,Whales,Female,Help Desk Operator,IT,Mass Customer,Yes,22,40-49,NSW,8
63,Bronze,Attention,Female,Senior Quality Engineer,Retail,Mass Customer,Yes,16,50-59,NSW,9
64,Silver,Promising,Male,Legal Assistant,IT,High Net Worth,No,4,40-49,VIC,8
65,Silver,Whales,Male,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,40-49,NSW,10
66,Bronze,Attention,Male,Account Executive,Argiculture,High Net Worth,No,1,20-29,NSW,10
67,Bronze,Slipping,Male,Web Developer II,Retail,Mass Customer,No,18,60-69,NSW,10
68,Bronze,Slipping,Female,Information Systems Manager,Retail,Affluent Customer,No,9,50-59,VIC,7
69,Diamond,Whales,Female,Web Developer II,Retail,Mass Customer,No,6,50-59,VIC,7
70,Silver,Promising,Male,Paralegal,Financial Services,Affluent Customer,No,8,30-39,NSW,12
71,Bronze,Dormant,Male,Research Associate,Argiculture,Affluent Customer,Yes,12,30-39,NSW,10
72,Silver,Rookies,Male,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,50-59,QLD,6
73,Bronze,Attention,Female,Teacher,Manufacturing,Affluent Customer,Yes,5,60-69,NSW,8
74,Bronze,Slipping,Female,Teacher,Manufacturing,Mass Customer,Yes,6,50-59,QLD,8
75,Diamond,Loyal,Female,VP Product Management,Property,Mass Customer,No,19,40-49,NSW,8
76,Diamond,Loyal,Female,Statistician II,Retail,High Net Worth,Yes,18,40-49,QLD,9
77,Bronze,Dormant,Male,Automation Specialist IV,Financial Services,Mass Customer,No,7,30-39,QLD,5
78,Bronze,Dormant,Male,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,30-39,NSW,9
79,Silver,Potential,Female,Account Executive,Manufacturing,Mass Customer,No,18,50-59,NSW,10
80,Diamond,Loyal,Male,Data Coordiator,Entertainment,Mass Customer,No,13,40-49,VIC,1
81,Silver,Rookies,Female,Data Coordiator,Health,High Net Worth,No,13,30-39,NSW,6
82,Bronze,Attention,Female,Software Test Engineer III,Property,High Net Worth,No,19,50-59,VIC,8
83,Bronze,Slipping,Male,Internal Auditor,IT,Mass Customer,Yes,18,50-59,NSW,12
84,Silver,Loyal,Male,Accountant III,IT,Mass Customer,Yes,14,60-69,NSW,11
85,Bronze,Potential,Male,Analyst Programmer,IT,Mass Customer,No,8,60-69,NSW,11
86,Diamond,Loyal,Male,Occupational Therapist,Health,High Net Worth,Yes,7,30-39,NSW,11
87,Diamond,Best,Male,Editor,Financial Services,Mass Customer,No,8,50-59,NSW,12
88,Bronze,Attention,Female,Help Desk Operator,Property,High Net Worth,Yes,7,50-59,NSW,12
89,Diamond,Best,Male,Speech Pathologist,Health,Mass Customer,Yes,14,50-59,NSW,11
90,Silver,Loyal,Male,Quality Control Specialist,Manufacturing,Mass Customer,No,11,30-39,NSW,10
91,Diamond,Best,Male,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,60-69,NSW,9
92,Bronze,Attention,Female,Recruiting Manager,Health,Mass Customer,No,12,40-49,VIC,10
93,Bronze,Slipping,Male,Project Manager,Retail,Mass Customer,Yes,10,40-49,VIC,10
94,Diamond,Loyal,Male,Civil Engineer,Manufacturing,Mass Customer,No,21,50-59,NSW,7
95,Bronze,Attention,Female,Software Engineer III,Manufacturing,Affluent Customer,Yes,8,60-69,VIC,10
96,Bronze,Dormant,Male,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,50-59,NSW,11
97,Silver,Whales,Male,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,40-49,NSW,8
98,Bronze,Slipping,Female,Safety Technician IV,Health,Mass Customer,No,7,60-69,NSW,10
99,Diamond,Best,Male,VP Accounting,Financial Services,Mass Customer,No,3,20-29,NSW,9
100,Bronze,Rookies,Male,General Manager,Financial Services,Mass Customer,Yes,4,50-59,NSW,12
101,Silver,Rookies,Male,Nurse Practicioner,Manufacturing,High Net Worth,No,11,40-49,NSW,10
102,Silver,Loyal,Male,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,60-69,NSW,9
103,Bronze,Potential,Female,Product Engineer,Financial Services,Affluent Customer,Yes,4,20-29,NSW,12
104,Silver,Loyal,Female,Automation Specialist II,Health,Mass Customer,Yes,9,40-49,QLD,10
105,Bronze,Slipping,Female,Recruiting Manager,Manufacturing,Mass Customer,No,1,20-29,NSW,10
106,Silver,Rookies,Male,Software Test Engineer III,Health,High Net Worth,Yes,18,50-59,NSW,9
107,Bronze,Slipping,Female,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,30-39,NSW,12
108,Silver,Rookies,Female,Nurse Practicioner,Financial Services,High Net Worth,No,3,30-39,NSW,8
109,Diamond,Best,Male,Marketing Assistant,Financial Services,Affluent Customer,Yes,4,40-49,NSW,11
110,Diamond,Loyal,Male,Marketing Assistant,Financial Services,Affluent Customer,No,1,20-29,VIC,8
111,Bronze,Slipping,Female,Analyst Programmer,Financial Services,Mass Customer,No,2,30-39,NSW,12
112,Silver,Whales,Female,Marketing Manager,Retail,High Net Worth,No,12,40-49,VIC,11
113,Bronze,Attention,Male,Staff Scientist,Retail,Mass Customer,No,20,60-69,QLD,4
114,Bronze,Slipping,Female,Teacher,Entertainment,Affluent Customer,No,8,30-39,NSW,9
115,Diamond,Loyal,Male,Account Executive,Health,Mass Customer,No,18,40-49,VIC,1
116,Diamond,Loyal,Male,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,20-29,NSW,8
117,Diamond,Best,Female,Marketing Manager,Manufacturing,Mass Customer,No,15,40-49,QLD,6
118,Bronze,Attention,Male,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,No,19,60-69,VIC,10
119,Silver,Whales,Male,Associate Professor,Manufacturing,High Net Worth,Yes,9,40-49,VIC,7
120,Bronze,Dormant,Male,Legal Assistant,Financial Services,High Net Worth,Yes,4,40-49,NSW,2
121,Bronze,Slipping,Male,Graphic Designer,Manufacturing,Mass Customer,No,15,60-69,NSW,9
122,Silver,Promising,Male,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,40-49,QLD,2
123,Bronze,Slipping,Female,Analyst Programmer,Financial Services,High Net Worth,No,15,30-39,NSW,8
124,Diamond,Best,Female,Administrative Assistant II,Health,High Net Worth,Yes,5,20-29,VIC,8
125,Silver,Attention,Female,Computer Systems Analyst II,Property,Mass Customer,No,16,60-69,NSW,10
126,Bronze,Rookies,Male,Administrative Officer,Health,Mass Customer,Yes,3,30-39,QLD,4
127,Diamond,Best,Female,Compensation Analyst,Financial Services,Mass Customer,No,19,40-49,QLD,1
128,Bronze,Slipping,Male,Systems Administrator III,Property,Mass Customer,Yes,12,40-49,NSW,5
129,Bronze,Slipping,Male,Financial Advisor,Financial Services,High Net Worth,Yes,19,30-39,NSW,9
130,Bronze,Dormant,Male,Chemical Engineer,Manufacturing,Mass Customer,No,1,20-29,NSW,7
131,Silver,Whales,Female,Administrative Officer,Retail,High Net Worth,No,8,50-59,QLD,3
132,Silver,Promising,Female,Web Designer I,Manufacturing,Mass Customer,Yes,9,60-69,NSW,8
133,Bronze,Potential,Male,VP Accounting,Financial Services,Mass Customer,Yes,16,40-49,QLD,1
134,Silver,Promising,Female,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,20-29,NSW,11
135,Bronze,Attention,Female,Internal Auditor,IT,Mass Customer,No,3,40-49,VIC,6
136,Diamond,Loyal,Male,Senior Developer,Manufacturing,High Net Worth,Yes,7,50-59,QLD,3
137,Bronze,Potential,Male,Office Assistant II,Property,High Net Worth,No,10,30-39,NSW,10
138,Silver,Loyal,Male,Recruiter,Financial Services,Affluent Customer,Yes,13,30-39,NSW,9
139,Diamond,Loyal,Male,Operator,Telecommunications,Affluent Customer,No,4,60-69,QLD,1
140,Silver,Promising,Male,Programmer Analyst III,Manufacturing,Mass Customer,No,2,30-39,VIC,9
141,Bronze,Dormant,Male,Teacher,Financial Services,High Net Worth,Yes,10,70-79,NSW,11
142,Diamond,Best,Male,Quality Engineer,Health,Affluent Customer,No,17,50-59,VIC,9
143,Silver,Rookies,Male,Operator,Argiculture,Mass Customer,Yes,11,60-69,QLD,6
144,Diamond,Best,Female,Environmental Tech,IT,Mass Customer,No,12,60-69,NSW,3
145,Silver,Loyal,Male,Account Executive,Financial Services,Mass Customer,No,4,20-29,NSW,5
146,Bronze,Dormant,Male,Quality Control Specialist,Manufacturing,Mass Customer,No,8,30-39,NSW,11
147,Silver,Whales,Female,Analog Circuit Design manager,Health,Mass Customer,Yes,10,50-59,NSW,11
148,Silver,Potential,Female,Programmer Analyst III,Health,Mass Customer,Yes,5,40-49,VIC,8
149,Silver,Promising,Female,Research Nurse,Health,Mass Customer,Yes,1,20-29,QLD,7
150,Bronze,Slipping,Male,Cost Accountant,Financial Services,Affluent Customer,No,17,40-49,NSW,7
151,Diamond,Best,Male,Marketing Manager,Manufacturing,Mass Customer,Yes,13,50-59,NSW,9
152,Bronze,Dormant,Female,Compensation Analyst,Financial Services,Mass Customer,No,16,40-49,NSW,12
153,Diamond,Loyal,Female,Assistant Media Planner,Entertainment,Mass Customer,Yes,12,40-49,NSW,8
154,Silver,Promising,Female,Junior Executive,Entertainment,Mass Customer,No,11,60-69,NSW,8
155,Bronze,Rookies,Male,Quality Engineer,Manufacturing,Mass Customer,No,10,30-39,NSW,10
156,Silver,Promising,Female,Cost Accountant,Financial Services,Mass Customer,Yes,11,40-49,VIC,11
157,Bronze,Dormant,Male,Financial Advisor,Financial Services,Affluent Customer,No,16,40-49,VIC,8
158,Silver,Whales,Male,Internal Auditor,Financial Services,Affluent Customer,No,5,30-39,NSW,6
159,Silver,Potential,Male,Research Nurse,Health,Affluent Customer,No,13,30-39,NSW,10
160,Bronze,Slipping,Male,Registered Nurse,Health,Mass Customer,No,18,60-69,NSW,11
161,Bronze,Dormant,Male,Registered Nurse,Health,Mass Customer,No,16,40-49,NSW,10
162,Bronze,Dormant,Male,Nurse Practicioner,IT,Mass Customer,No,15,40-49,NSW,10
163,Bronze,Dormant,Female,Librarian,Entertainment,High Net Worth,Yes,14,40-49,VIC,10
164,Bronze,Dormant,Female,Senior Editor,Retail,Affluent Customer,Yes,1,20-29,QLD,4
165,Diamond,Best,Male,Administrative Officer,Argiculture,Mass Customer,Yes,12,40-49,NSW,10
166,Diamond,Loyal,Male,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6,60-69,QLD,4
167,Diamond,Best,Female,Structural Analysis Engineer,Health,High Net Worth,Yes,17,50-59,QLD,6
168,Silver,Whales,Female,General Manager,IT,Affluent Customer,Yes,12,50-59,VIC,6
169,Bronze,Slipping,Male,Data Coordiator,Telecommunications,High Net Worth,Yes,5,60-69,NSW,9
170,Bronze,Dormant,Male,Pharmacist,Health,High Net Worth,No,21,40-49,VIC,8
171,Diamond,Best,Female,Assistant Manager,Manufacturing,Mass Customer,No,10,50-59,NSW,11
172,Diamond,Loyal,Male,Editor,Manufacturing,Affluent Customer,Yes,6,30-39,VIC,4
173,Diamond,Best,Female,General Manager,Health,Affluent Customer,No,1,20-29,NSW,8
174,Diamond,Best,Female,Food Chemist,Health,Mass Customer,No,12,30-39,NSW,9
175,Bronze,Potential,Male,Quality Engineer,Manufacturing,Affluent Customer,No,5,40-49,VIC,11
176,Silver,Promising,Male,Accountant I,Property,Mass Customer,No,10,30-39,NSW,8
177,Diamond,Loyal,Female,Professor,Financial Services,High Net Worth,No,4,30-39,NSW,5
178,Bronze,Attention,Male,Professor,Financial Services,Affluent Customer,No,8,50-59,NSW,7
179,Bronze,Slipping,Male,Environmental Tech,Manufacturing,High Net Worth,Yes,6,50-59,NSW,9
180,Diamond,Best,Female,Web Designer III,Argiculture,Affluent Customer,No,14,50-59,QLD,8
181,Silver,Potential,Female,Senior Editor,Manufacturing,Mass Customer,No,9,40-49,VIC,1
182,Diamond,Best,Male,Sales Associate,Financial Services,Affluent Customer,Yes,7,30-39,QLD,4
183,Bronze,Attention,Female,Geologist III,Retail,Affluent Customer,No,3,20-29,NSW,10
184,Bronze,Attention,Male,Marketing Manager,Manufacturing,High Net Worth,Yes,7,50-59,NSW,1
185,Diamond,Loyal,Male,Marketing Manager,Property,Mass Customer,Yes,13,40-49,NSW,5
186,Silver,Promising,Female,Software Test Engineer I,Financial Services,Mass Customer,No,3,50-59,QLD,7
187,Diamond,Loyal,Male,Structural Engineer,Financial Services,Mass Customer,No,11,70-79,NSW,10
188,Silver,Promising,Female,Safety Technician II,Property,High Net Worth,Yes,13,40-49,NSW,11
189,Diamond,Whales,Male,Safety Technician I,Financial Services,Affluent Customer,No,10,40-49,VIC,4
190,Bronze,Dormant,Female,Registered Nurse,Health,Affluent Customer,No,10,40-49,NSW,9
191,Bronze,Dormant,Male,Help Desk Operator,Health,Affluent Customer,Yes,6,60-69,NSW,7
192,Bronze,Dormant,Female,Junior Executive,Health,Mass Customer,Yes,8,40-49,VIC,6
193,Silver,Promising,Male,Recruiting Manager,Manufacturing,Mass Customer,Yes,12,60-69,QLD,7
194,Bronze,Slipping,Female,Web Developer III,Financial Services,Affluent Customer,No,10,40-49,QLD,5
195,Diamond,Best,Female,Project Manager,Manufacturing,Mass Customer,No,6,60-69,VIC,9
196,Silver,Whales,Male,Programmer Analyst II,Manufacturing,High Net Worth,No,6,50-59,NSW,8
197,Diamond,Loyal,Female,Programmer Analyst II,Manufacturing,High Net Worth,No,5,40-49,NSW,12
198,Diamond,Loyal,Female,Assistant Media Planner,Entertainment,Mass Customer,No,16,40-49,VIC,7
199,Silver,Rookies,Female,Junior Executive,Health,Mass Customer,Yes,21,40-49,NSW,8
200,Diamond,Best,Male,Physical Therapy Assistant,Property,Affluent Customer,Yes,19,60-69,QLD,2
201,Diamond,Loyal,Male,Design Engineer,Manufacturing,Mass Customer,Yes,11,50-59,NSW,9
202,Bronze,Rookies,Female,Librarian,Entertainment,Affluent Customer,Yes,16,60-69,QLD,5
203,Silver,Promising,Male,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11,60-69,NSW,11
204,Diamond,Loyal,Male,Editor,Financial Services,Mass Customer,No,5,40-49,VIC,10
205,Silver,Promising,Male,Administrative Assistant II,Financial Services,Mass Customer,Yes,6,60-69,VIC,9
206,Bronze,Slipping,Female,Statistician I,Financial Services,Mass Customer,Yes,14,70-79,NSW,9
207,Bronze,Dormant,Female,Statistician I,Financial Services,Mass Customer,No,7,30-39,QLD,8
208,Silver,Potential,Male,Office Assistant III,Property,High Net Worth,No,5,20-29,QLD,7
209,Bronze,Attention,Male,Analog Circuit Design manager,Property,Affluent Customer,Yes,6,60-69,NSW,11
210,Silver,Promising,Male,Assistant Manager,Property,Mass Customer,No,18,60-69,VIC,9
211,Diamond,Loyal,Female,VP Marketing,Manufacturing,Mass Customer,Yes,5,50-59,NSW,10
212,Bronze,Dormant,Female,Desktop Support Technician,IT,Affluent Customer,No,1,20-29,QLD,4
213,Diamond,Loyal,Male,Actuary,Financial Services,High Net Worth,Yes,6,20-29,QLD,4
214,Silver,Potential,Male,Food Chemist,Health,Mass Customer,No,6,60-69,QLD,9
215,Diamond,Best,Female,Assistant Professor,Retail,High Net Worth,Yes,18,50-59,QLD,3
216,Bronze,Rookies,Female,Quality Engineer,Financial Services,High Net Worth,Yes,7,20-29,NSW,10
217,Diamond,Loyal,Female,Quality Engineer,Manufacturing,High Net Worth,No,16,40-49,NSW,11
218,Bronze,Rookies,Female,Administrative Officer,Property,High Net Worth,Yes,8,30-39,NSW,8
219,Bronze,Potential,Male,Database Administrator III,Health,Mass Customer,No,7,50-59,NSW,8
220,Diamond,Whales,Female,Electrical Engineer,Manufacturing,High Net Worth,No,9,70-79,VIC,8
221,Diamond,Whales,Female,Tax Accountant,Manufacturing,Mass Customer,No,14,40-49,NSW,8
222,Bronze,Rookies,Male,Clinical Specialist,Health,Mass Customer,No,16,40-49,NSW,11
223,Diamond,Loyal,Male,VP Sales,Health,Affluent Customer,Yes,14,40-49,NSW,7
224,Silver,Promising,Male,Compensation Analyst,Financial Services,Affluent Customer,No,17,50-59,NSW,12
225,Bronze,Slipping,Female,Pharmacist,Health,Affluent Customer,No,13,40-49,NSW,9
226,Bronze,Dormant,Male,Database Administrator IV,Manufacturing,Mass Customer,No,20,40-49,NSW,7
227,Silver,Whales,Male,Accountant I,Entertainment,Mass Customer,No,18,50-59,NSW,9
228,Silver,Whales,Female,Systems Administrator II,Manufacturing,High Net Worth,No,12,30-39,NSW,7
229,Bronze,Potential,Male,Systems Administrator II,Property,High Net Worth,No,19,50-59,NSW,10
230,Diamond,Loyal,Female,Internal Auditor,Property,High Net Worth,No,11,70-79,NSW,11
231,Bronze,Attention,Male,Design Engineer,Financial Services,Mass Customer,Yes,3,20-29,NSW,10
232,Bronze,Attention,Female,Professor,Retail,Mass Customer,No,12,30-39,NSW,9
233,Silver,Promising,Male,Environmental Tech,Property,Mass Customer,No,13,30-39,NSW,10
234,Diamond,Best,Female,Chief Design Engineer,Retail,High Net Worth,No,12,50-59,NSW,10
235,Diamond,Best,Female,Social Worker,Health,Mass Customer,No,15,40-49,NSW,8
236,Silver,Rookies,Male,Research Nurse,Health,Affluent Customer,No,14,60-69,VIC,2
237,Diamond,Loyal,Male,Account Coordinator,Property,High Net Worth,Yes,11,50-59,NSW,11
238,Bronze,Attention,Male,Programmer III,Property,Mass Customer,Yes,14,40-49,NSW,8
239,Diamond,Best,Male,Registered Nurse,Health,Affluent Customer,No,3,30-39,QLD,3
240,Bronze,Slipping,Male,Administrative Assistant III,IT,High Net Worth,Yes,15,30-39,NSW,9
241,Bronze,Slipping,Male,Quality Engineer,Entertainment,Mass Customer,No,20,30-39,QLD,7
242,Silver,Attention,Male,Nurse,Property,Affluent Customer,No,8,30-39,NSW,9
243,Bronze,Attention,Female,Teacher,Manufacturing,High Net Worth,Yes,14,40-49,NSW,8
244,Bronze,Slipping,Male,Teacher,Retail,Affluent Customer,No,8,40-49,VIC,6
245,Silver,Promising,Female,Associate Professor,Financial Services,Affluent Customer,No,1,20-29,VIC,1
246,Silver,Loyal,Female,Technical Writer,Manufacturing,High Net Worth,No,9,30-39,QLD,5
247,Silver,Whales,Female,Staff Accountant II,Financial Services,High Net Worth,Yes,13,40-49,NSW,4
248,Bronze,Attention,Female,Clinical Specialist,Health,Affluent Customer,Yes,12,40-49,NSW,10
249,Silver,Loyal,Male,Quality Control Specialist,IT,High Net Worth,No,9,30-39,NSW,11
250,Diamond,Loyal,Male,Legal Assistant,Health,Mass Customer,Yes,13,30-39,NSW,10
251,Bronze,Slipping,Female,VP Sales,Financial Services,Affluent Customer,Yes,10,40-49,NSW,8
252,Silver,Potential,Female,Account Coordinator,Property,Mass Customer,Yes,13,40-49,NSW,7
253,Bronze,Rookies,Female,Food Chemist,Health,Mass Customer,Yes,1,20-29,NSW,7
254,Diamond,Loyal,Female,Information Systems Manager,Retail,Mass Customer,No,14,60-69,VIC,1
255,Diamond,Loyal,Female,Desktop Support Technician,IT,Mass Customer,No,5,70-79,VIC,2
256,Silver,Promising,Female,Director of Sales,Health,High Net Worth,Yes,21,40-49,NSW,7
257,Silver,Whales,Female,Sales Associate,Manufacturing,Affluent Customer,Yes,19,50-59,NSW,5
258,Silver,Promising,Female,Administrative Officer,Manufacturing,High Net Worth,No,9,30-39,NSW,6
259,Bronze,Slipping,Female,Senior Developer,Health,High Net Worth,Yes,3,40-49,NSW,6
260,Diamond,Loyal,Female,Senior Quality Engineer,Health,High Net Worth,Yes,22,40-49,QLD,2
261,Diamond,Loyal,Male,Structural Engineer,Health,Mass Customer,No,8,40-49,NSW,1
262,Silver,Promising,Male,Structural Engineer,Health,High Net Worth,Yes,10,40-49,NSW,10
263,Silver,Loyal,Female,Dental Hygienist,Health,High Net Worth,No,7,30-39,NSW,9
264,Bronze,Dormant,Male,Technical Writer,Health,Mass Customer,No,11,40-49,NSW,10
265,Bronze,Slipping,Male,Sales Representative,Retail,High Net Worth,Yes,18,50-59,VIC,9
266,Bronze,Slipping,Female,Account Executive,Retail,Affluent Customer,No,18,30-39,NSW,10
267,Bronze,Slipping,Female,Account Executive,IT,High Net Worth,No,1,30-39,NSW,10
268,Bronze,Slipping,Female,Chemical Engineer,Manufacturing,Mass Customer,No,10,40-49,NSW,9
269,Bronze,Slipping,Male,Nurse Practicioner,Property,Mass Customer,Yes,9,60-69,VIC,7
270,Diamond,Best,Female,Budget/Accounting Analyst III,Property,Mass Customer,Yes,17,50-59,VIC,10
271,Bronze,Dormant,Female,Financial Advisor,Financial Services,Mass Customer,No,4,30-39,QLD,2
272,Silver,Whales,Female,Product Engineer,Retail,Mass Customer,Yes,1,30-39,NSW,12
273,Diamond,Loyal,Male,Computer Systems Analyst IV,Retail,Mass Customer,No,19,60-69,VIC,9
274,Bronze,Dormant,Female,Social Worker,Health,Mass Customer,Yes,14,40-49,VIC,8
275,Silver,Whales,Male,VP Sales,Health,High Net Worth,No,13,60-69,NSW,4
276,Silver,Promising,Female,VP Sales,Financial Services,Mass Customer,No,22,30-39,VIC,8
277,Bronze,Rookies,Female,VP Product Management,Financial Services,High Net Worth,No,15,60-69,QLD,8
278,Bronze,Dormant,Male,Executive Secretary,Financial Services,Affluent Customer,Yes,4,20-29,NSW,12
279,Silver,Promising,Female,Web Designer I,Manufacturing,Mass Customer,No,11,40-49,NSW,11
280,Diamond,Loyal,Male,Geologist I,Manufacturing,Affluent Customer,Yes,5,20-29,NSW,8
281,Silver,Rookies,Female,Cost Accountant,Financial Services,High Net Worth,Yes,8,50-59,NSW,6
282,Bronze,Dormant,Male,VP Quality Control,Argiculture,High Net Worth,Yes,11,30-39,QLD,5
283,Silver,Whales,Female,Assistant Manager,Retail,Mass Customer,No,2,30-39,QLD,6
284,Bronze,Attention,Male,Financial Analyst,Financial Services,High Net Worth,Yes,9,30-39,NSW,11
285,Silver,Promising,Female,Community Outreach Specialist,Manufacturing,Mass Customer,No,12,40-49,NSW,12
286,Bronze,Dormant,Male,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11,30-39,QLD,7
