transaction_id,product_id,customer_id,transaction_date,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
42,79,3398,2017-05-14,0,Solex,Touring,medium,large,2083.94,675.03,2013-09-18
44,46,165,2017-12-22,0,Solex,Standard,low,medium,1289.85,74.51,2003-02-18
45,55,2787,2017-06-07,1,Trek Bicycles,Road,medium,large,1894.19,598.76,2015-06-19
46,66,3053,2017-06-20,0,Solex,Standard,medium,medium,1163.89,589.27,2016-07-11
47,35,475,2017-05-07,1,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-14
48,81,1305,2017-06-10,1,Solex,Standard,medium,medium,1151.96,649.49,2012-04-12
49,86,1251,2017-06-17,0,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-09
50,32,3103,2017-05-10,0,Giant Bicycles,Standard,medium,medium,642.7,211.37,2002-03-24
51,77,3108,2017-03-24,0,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-12
52,96,857,2017-11-27,0,Giant Bicycles,Standard,medium,large,1635.3,993.66,2007-12-13
53,6,3455,2017-12-21,1,OHM Cycles,Standard,high,medium,227.88,136.73,1991-11-09
54,27,2549,2017-02-09,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,1994-07-14
55,0,3140,2017-09-18,0,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-12
56,47,3406,2017-11-14,0,Trek Bicycles,Road,low,small,1720.7,1531.42,1997-02-11
57,94,2294,2017-08-30,1,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-11
58,91,1031,2017-11-14,0,Solex,Standard,medium,medium,100.35,75.26,1999-07-28
59,93,993,2017-02-15,1,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-04
60,60,3473,2017-12-18,0,Giant Bicycles,Standard,high,small,1977.36,1759.85,2014-07-30
61,0,1839,2017-02-24,0,OHM Cycles,Road,high,large,12.01,7.21,1993-10-04
62,33,1824,2017-12-18,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13
63,35,368,2017-12-17,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-16
64,0,2000,2017-07-08,0,Trek Bicycles,Standard,medium,medium,499.53,388.72,2006-11-12
65,28,825,2017-05-16,1,Norco Bicycles,Standard,medium,small,1216.14,1082.36,2016-11-24
66,86,3315,2017-02-23,1,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-07-28
67,2,75,2017-07-03,1,Solex,Standard,medium,medium,71.49,53.62,2012-12-04
68,4,1498,2017-09-30,1,Giant Bicycles,Standard,high,medium,1129.13,677.48,2004-09-30
69,38,1612,2017-10-21,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-17
70,27,2192,2017-05-06,1,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-25
71,54,419,2017-01-03,0,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-14
72,77,3307,2017-05-09,1,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-11
73,22,2430,2017-07-23,0,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-17
74,56,1506,2017-01-21,1,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-06
75,58,1346,2017-06-20,0,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-20
76,22,927,2017-03-10,0,WeareA2B,Standard,medium,medium,60.34,45.26,1991-11-12
77,50,763,2017-06-02,0,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-18
78,80,2397,2017-11-07,0,OHM Cycles,Touring,low,medium,1073.07,933.84,1998-12-18
79,87,102,2017-09-12,1,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-27
80,15,2884,2017-12-16,0,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-09
81,84,759,2017-10-07,1,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-04
82,21,773,2017-04-27,1,Solex,Standard,medium,large,1071.23,380.74,2011-05-09
83,0,3398,2017-04-01,1,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-07
84,33,3297,2017-11-02,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13
85,84,2434,2017-02-13,1,Trek Bicycles,Road,medium,medium,290.62,215.14,2004-12-20
86,1,1861,2017-07-19,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-30
87,27,1233,2017-05-23,0,Trek Bicycles,Standard,medium,medium,499.53,388.72,1991-08-07
88,31,1390,2017-08-06,0,WeareA2B,Standard,medium,medium,752.64,205.36,1993-04-22
89,0,2682,2017-04-04,1,OHM Cycles,Road,high,large,12.01,7.21,2010-05-07
90,62,439,2017-08-15,1,Solex,Standard,medium,medium,478.16,298.72,1993-06-25
91,17,1579,2017-04-15,1,Solex,Standard,high,medium,1024.66,614.8,1996-04-07
92,73,2984,2017-07-25,1,Solex,Standard,medium,medium,1945.43,333.18,2000-05-24
93,33,3470,2017-11-28,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1999-12-06
94,86,1,2017-12-23,0,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-12
95,45,757,2017-02-26,0,Solex,Standard,medium,medium,441.49,84.99,1993-04-14
96,1,1778,2017-02-21,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-04-18
97,80,211,2017-05-31,1,OHM Cycles,Touring,low,medium,1073.07,933.84,2004-12-20
98,49,333,2017-06-23,1,Trek Bicycles,Road,medium,medium,533.51,400.13,2003-07-23
99,95,32,2017-03-26,0,Giant Bicycles,Standard,medium,large,569.56,528.43,2003-09-12
100,0,119,2017-07-31,0,Solex,Standard,medium,medium,478.16,298.72,1998-12-19
101,18,2347,2017-07-27,0,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-12
102,4,2353,2017-04-14,0,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-18
103,33,788,2017-11-12,0,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13
104,78,1468,2017-09-12,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-27
105,89,821,2017-10-26,0,WeareA2B,Touring,medium,large,1362.99,57.74,2013-06-11
106,70,2489,2017-02-15,0,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-13
107,79,2710,2017-12-22,0,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-11
108,26,947,2017-10-11,1,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-28
109,39,1335,2017-03-27,1,Giant Bicycles,Standard,medium,large,1812.75,582.48,2006-10-03
110,36,1076,2017-11-04,0,Solex,Standard,low,medium,945.04,507.58,1995-12-21
111,0,3320,2017-06-11,1,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-19
112,84,779,2017-10-09,0,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-04
113,98,3296,2017-06-07,1,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-08
114,75,455,2017-10-24,1,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-11
115,76,1779,2017-05-01,0,WeareA2B,Standard,low,medium,642.31,513.85,2005-05-12
116,72,2703,2017-11-21,1,Norco Bicycles,Standard,medium,medium,360.4,270.3,2011-01-12
117,42,806,2017-03-24,0,OHM Cycles,Road,medium,small,1810.0,1610.9,1993-04-14
118,20,22,2017-03-21,0,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-07
119,64,1591,2017-02-20,0,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-24
120,0,678,2017-06-16,0,Trek Bicycles,Standard,high,medium,495.72,297.43,2015-04-13
121,25,50,2017-12-04,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,1992-10-13
122,24,1038,2017-12-01,1,Solex,Road,medium,large,1777.8,820.78,1993-05-28
123,31,1453,2017-03-05,1,WeareA2B,Standard,medium,medium,752.64,205.36,2015-08-04
124,98,1339,2017-03-21,0,OHM Cycles,Standard,medium,medium,795.34,101.58,1997-02-11
125,22,3382,2017-01-03,1,Solex,Standard,medium,medium,575.27,431.45,2013-03-14
126,53,773,2017-04-01,0,OHM Cycles,Standard,medium,medium,795.34,101.58,2003-07-23
127,84,2503,2017-03-16,1,Trek Bicycles,Road,medium,medium,290.62,215.14,2005-05-12
128,25,1057,2017-02-26,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-06
129,50,1397,2017-06-05,0,WeareA2B,Standard,medium,small,175.89,131.92,2015-10-20
130,44,2134,2017-09-04,0,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-11
131,96,2403,2017-01-18,1,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-12
132,12,1937,2017-09-28,0,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-19
133,93,1282,2017-09-02,1,WeareA2B,Standard,medium,medium,1065.03,230.09,2002-10-12
134,78,2183,2017-05-09,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,1991-07-12
135,84,1788,2017-10-17,0,Giant Bicycles,Road,medium,medium,792.9,594.68,2006-05-24
136,65,1170,2017-04-25,1,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-04-13
138,29,1940,2017-08-02,0,WeareA2B,Standard,medium,medium,1065.03,230.09,2000-11-05
140,11,462,2017-01-01,0,Giant Bicycles,Standard,high,medium,1274.93,764.96,2016-07-11
141,10,2728,2017-12-22,0,Solex,Standard,medium,medium,1945.43,333.18,2002-09-02
142,46,2053,2017-12-25,0,Solex,Standard,low,medium,1289.85,74.51,2012-06-06
143,60,2135,2017-01-26,1,Giant Bicycles,Standard,high,small,1977.36,1759.85,2012-05-20
144,92,1217,2017-12-20,0,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-23
145,7,2992,2017-06-07,1,Trek Bicycles,Road,low,medium,980.37,234.43,2005-12-09
146,41,3261,2017-04-06,1,Solex,Road,medium,medium,416.98,312.74,1997-05-12
147,67,2748,2017-04-25,1,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-24
148,14,3262,2017-01-13,0,Trek Bicycles,Standard,medium,small,1386.84,1234.29,2003-08-07
149,89,788,2017-03-21,0,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-22
150,9,3067,2017-11-21,1,OHM Cycles,Road,medium,medium,742.54,667.4,1994-09-11
151,31,701,2017-11-11,0,Giant Bicycles,Standard,medium,medium,230.91,173.18,2003-03-20
152,92,648,2017-10-16,0,WeareA2B,Standard,medium,small,1415.01,1259.36,2000-11-05
153,37,3286,2017-08-19,1,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-22
154,3,3383,2017-04-06,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,2011-08-31
155,56,982,2017-11-04,1,Norco Bicycles,Mountain,low,small,688.63,612.88,2016-02-06
156,14,676,2017-08-22,1,Solex,Standard,high,large,1842.92,1105.75,2003-09-11
157,6,385,2017-09-15,1,Solex,Standard,high,medium,748.17,448.9,2015-04-13
158,50,1229,2017-03-01,1,WeareA2B,Standard,medium,small,175.89,131.92,2009-04-14
159,10,3232,2017-08-16,0,WeareA2B,Touring,medium,medium,1466.68,363.25,2013-03-14
161,69,2381,2017-07-10,0,Giant Bicycles,Road,medium,medium,792.9,594.68,2015-04-13
162,78,371,2017-12-11,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-27
163,80,2519,2017-05-20,1,OHM Cycles,Touring,low,medium,1073.07,933.84,2015-08-12
164,17,2264,2017-07-30,0,Solex,Standard,high,medium,1024.66,614.8,1996-11-11
165,3,2637,2017-10-25,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,2005-08-11
166,78,3262,2017-11-27,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-27
167,90,3177,2017-04-26,1,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-12
168,87,2267,2017-02-02,0,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-27
169,97,456,2017-05-02,0,Solex,Standard,medium,large,202.62,151.96,2004-01-18
170,6,404,2017-10-16,1,OHM Cycles,Standard,high,medium,227.88,136.73,2003-08-07
171,100,3121,2017-10-22,0,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-08
172,55,2365,2017-04-11,1,Trek Bicycles,Road,medium,large,1894.19,598.76,1991-01-23
173,100,2528,2017-11-16,0,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-08
174,10,3151,2017-12-17,0,WeareA2B,Touring,medium,medium,1466.68,363.25,1994-09-11
175,25,3241,2017-12-23,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-11-24
176,74,1335,2017-03-30,1,WeareA2B,Standard,medium,medium,1228.07,400.91,2003-09-11
177,90,2234,2017-04-13,0,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-12
178,56,3226,2017-07-25,1,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-06
179,62,1365,2017-01-31,0,Solex,Standard,medium,medium,478.16,298.72,1993-06-25
180,20,3349,2017-03-18,1,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-07
181,17,1002,2017-02-24,0,Solex,Standard,high,medium,1024.66,614.8,2011-05-09
182,16,2282,2017-02-18,0,Norco Bicycles,Standard,high,small,1661.92,1479.11,2013-03-14
183,46,2656,2017-01-07,0,Solex,Standard,low,medium,1289.85,74.51,2012-06-06
184,71,2409,2017-07-05,1,Solex,Standard,high,large,1842.92,1105.75,1995-10-26
185,91,1711,2017-11-19,0,WeareA2B,Standard,low,medium,642.31,513.85,2004-07-27
186,17,2582,2017-11-08,1,Solex,Standard,high,medium,1024.66,614.8,1996-11-11
187,1,1005,2017-07-24,1,Giant Bicycles,Touring,medium,large,1873.97,863.95,2003-09-11
188,3,1597,2017-01-15,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-17
189,56,2713,2017-01-12,1,OHM Cycles,Standard,medium,medium,183.86,137.9,1993-06-25
190,37,1435,2017-11-27,1,OHM Cycles,Standard,low,medium,1793.43,248.82,2011-05-11
191,34,1477,2017-06-30,1,Norco Bicycles,Road,high,large,774.53,464.72,2008-03-21
192,0,1614,2017-07-15,1,Giant Bicycles,Standard,medium,medium,230.91,173.18,2006-11-12
193,12,1254,2017-06-22,1,WeareA2B,Standard,medium,medium,1231.15,161.6,2009-03-10
194,25,1423,2017-05-02,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,2011-01-12
195,81,276,2017-12-27,0,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-12
196,19,1315,2017-12-21,1,OHM Cycles,Road,high,large,12.01,7.21,1999-06-25
197,45,591,2017-05-23,1,Solex,Standard,medium,medium,441.49,84.99,1993-04-14
198,74,1017,2017-02-02,0,WeareA2B,Standard,medium,medium,1762.96,950.52,2014-07-30
199,33,2123,2017-06-08,0,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13
200,57,2889,2017-04-15,1,WeareA2B,Touring,medium,large,1890.39,260.14,1993-06-25
201,0,3208,2017-09-05,1,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-06
202,23,2406,2017-02-26,1,Norco Bicycles,Mountain,low,small,688.63,612.88,2006-11-12
203,67,2041,2017-07-29,0,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-24
204,81,1598,2017-07-03,1,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-12
205,58,1842,2017-05-27,1,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-20
206,5,141,2017-05-05,0,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-11
207,94,1321,2017-09-09,0,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-11
208,51,183,2017-05-21,0,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-12
209,59,2591,2017-09-22,0,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-01-07
210,63,3356,2017-04-12,1,Solex,Standard,medium,medium,1483.2,99.59,1992-10-04
211,40,766,2017-05-07,1,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-04
212,80,1596,2017-01-13,0,Trek Bicycles,Standard,medium,large,1469.44,596.55,2005-10-24
213,82,520,2017-12-14,0,Norco Bicycles,Standard,high,medium,1148.64,689.18,2015-08-12
214,46,868,2017-03-22,1,Solex,Standard,low,medium,1289.85,74.51,2012-04-12
215,78,2999,2017-09-30,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-12
216,72,352,2017-11-29,1,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-08
217,75,1140,2017-06-09,0,Giant Bicycles,Touring,medium,large,1873.97,863.95,2004-07-27
218,40,621,2017-04-21,0,Trek Bicycles,Road,medium,large,1894.19,598.76,2003-07-23
219,2,3307,2017-11-13,0,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-07
220,10,1502,2017-04-09,1,WeareA2B,Touring,medium,medium,1466.68,363.25,2013-03-14
221,35,936,2017-05-08,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-16
222,8,939,2017-07-08,1,Solex,Road,medium,small,1703.52,1516.13,2011-04-18
223,2,2698,2017-11-30,0,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-07
224,69,579,2017-04-25,1,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-04
225,54,2036,2017-03-30,1,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-14
226,8,3077,2017-03-10,0,Solex,Road,medium,small,1703.52,1516.13,1993-04-22
227,86,369,2017-03-16,1,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-12
228,13,821,2017-04-04,1,Solex,Standard,medium,medium,1163.89,589.27,2013-03-14
229,19,2687,2017-03-13,1,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-31
230,86,681,2017-12-23,1,OHM Cycles,Standard,medium,medium,235.63,125.07,2013-06-11
231,46,37,2017-08-12,1,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-22
232,30,3002,2017-08-04,0,Solex,Standard,high,medium,748.17,448.9,1999-07-22
233,92,396,2017-09-01,0,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-23
234,71,550,2017-09-01,1,Solex,Standard,high,large,1842.92,1105.75,1995-10-26
235,77,1605,2017-07-02,0,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-12
236,7,2325,2017-08-31,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2003-03-20
237,23,1420,2017-03-11,1,Norco Bicycles,Mountain,low,small,688.63,612.88,1993-10-04
238,12,3099,2017-10-08,0,WeareA2B,Standard,medium,medium,1231.15,161.6,1994-09-11
239,61,1645,2017-10-01,1,OHM Cycles,Standard,low,medium,71.16,56.93,2015-05-23
240,21,546,2017-11-23,0,Solex,Standard,medium,large,1071.23,380.74,1991-11-12
241,86,2885,2017-03-27,1,OHM Cycles,Standard,medium,medium,235.63,125.07,2003-01-07
242,57,2740,2017-12-04,0,WeareA2B,Touring,medium,large,1890.39,260.14,1998-12-19
243,63,3166,2017-11-13,1,Solex,Standard,medium,medium,1483.2,99.59,1998-12-19
244,63,3487,2017-12-20,1,WeareA2B,Standard,medium,medium,1992.93,762.63,1993-05-28
245,33,2890,2017-09-22,1,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2010-06-09
246,98,3370,2017-01-22,0,OHM Cycles,Standard,medium,medium,795.34,101.58,2015-06-19
247,15,3393,2017-01-29,1,Norco Bicycles,Standard,low,medium,958.74,748.9,2009-03-10
248,57,2410,2017-07-21,0,WeareA2B,Touring,medium,large,1890.39,260.14,1993-06-25
249,61,3466,2017-02-10,1,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-19
251,63,1967,2017-04-11,1,Solex,Standard,medium,medium,1483.2,99.59,2015-05-23
252,78,3089,2017-12-03,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2013-09-18
253,2,3123,2017-12-30,0,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-07
254,67,2692,2017-07-26,0,Solex,Standard,medium,large,1071.23,380.74,1999-06-25
256,13,1580,2017-10-22,1,Solex,Standard,medium,medium,1577.53,826.51,2011-03-18
257,65,352,2017-03-22,0,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-23
258,49,1777,2017-06-15,1,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-06
259,87,142,2017-07-06,1,Giant Bicycles,Standard,high,medium,1179.0,707.4,1997-08-27
260,31,3393,2017-12-28,0,Giant Bicycles,Standard,medium,medium,230.91,173.18,2011-03-18
261,17,599,2017-05-09,0,Solex,Standard,high,medium,1024.66,614.8,2009-03-10
262,91,1258,2017-01-18,0,Solex,Standard,medium,medium,100.35,75.26,1999-07-28
263,53,3405,2017-10-22,1,OHM Cycles,Standard,medium,medium,795.34,101.58,2000-05-24
264,38,3198,2017-01-30,0,Solex,Standard,medium,medium,1577.53,826.51,1993-07-22
265,20,834,2017-06-26,0,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2010-05-07
266,44,3467,2017-11-07,1,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-11
267,69,3436,2017-08-13,1,Giant Bicycles,Road,medium,medium,792.9,594.68,2014-10-12
268,68,1516,2017-08-27,0,OHM Cycles,Standard,medium,medium,1636.9,44.71,2010-08-22
269,11,2833,2017-01-25,1,Giant Bicycles,Standard,high,medium,1274.93,764.96,2013-03-14
270,2,2362,2017-02-13,0,Solex,Standard,medium,medium,71.49,53.62,2005-08-11
271,27,2337,2017-07-11,0,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-25
272,0,2149,2017-04-30,1,Trek Bicycles,Standard,high,medium,358.39,215.03,2004-01-18
273,81,2133,2017-05-19,0,Solex,Standard,medium,medium,1151.96,649.49,1997-02-11
274,6,360,2017-05-26,1,OHM Cycles,Standard,high,medium,227.88,136.73,2014-03-05
275,76,2969,2017-02-03,1,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-12
276,18,1720,2017-04-28,0,Solex,Standard,medium,medium,575.27,431.45,1993-10-04
277,18,2904,2017-03-23,0,Norco Bicycles,Standard,high,medium,1148.64,689.18,1998-12-18
278,9,754,2017-06-03,0,OHM Cycles,Road,medium,medium,742.54,667.4,1991-11-09
279,35,1826,2017-04-25,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-16
280,93,2487,2017-04-08,0,WeareA2B,Standard,medium,medium,1065.03,230.09,2016-03-31
281,40,2815,2017-02-18,0,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-04
282,1,541,2017-05-04,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2004-09-30
283,16,302,2017-03-29,0,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-11
284,44,2024,2017-10-03,1,WeareA2B,Standard,medium,medium,1769.64,108.76,2012-06-06
285,48,142,2017-07-27,1,WeareA2B,Standard,medium,medium,1762.96,950.52,2014-07-30
286,56,768,2017-08-07,1,OHM Cycles,Standard,medium,medium,183.86,137.9,1993-07-22
287,36,2147,2017-02-07,1,Solex,Standard,low,medium,1289.85,74.51,2012-06-06
288,36,529,2017-11-20,1,Solex,Standard,low,medium,945.04,507.58,2006-02-04
289,13,825,2017-02-23,0,Solex,Standard,medium,medium,1163.89,589.27,1994-09-11
290,55,624,2017-04-05,1,Trek Bicycles,Road,medium,large,1894.19,598.76,1993-07-22
291,38,2302,2017-11-07,0,Solex,Standard,medium,medium,1577.53,826.51,2011-05-11
292,64,3380,2017-10-28,0,Giant Bicycles,Standard,high,small,1977.36,1759.85,2015-06-19
293,0,314,2017-11-19,0,OHM Cycles,Standard,high,medium,227.88,136.73,2007-08-06
